U.S. Senate,,Miss.,,NOV 25,Change Research,1211,LV,Espy,46%,51%,Hyde-Smith,Hyde-Smith,5
"Nov. 24, 2018",,,,,,,,,,,,,
U.S. Senate,,Miss.,,NOV 19-24,JMC Analytics / Bold Blue Campaigns,684,LV,Espy,44.00%,54.00%,Hyde-Smith,Hyde-Smith,10
"Nov. 5, 2018",,,,,,,,,,,,,
U.S. Senate,,Mich.,,01/11/05,D-Mitchell Research & Communications,827,LV,Stabenow,49.00%,46.00%,James,Stabenow,3
U.S. Senate,,Ariz.,,04/11/05,CTrafalgar Group,1217,LV,Sinema,45.00%,47.00%,McSally,McSally,2
U.S. Senate,,Fla.,,04/11/05,CTrafalgar Group,1484,LV,Nelson,47.00%,49.00%,Scott,Scott,2
U.S. Senate,,Mo.,,03/11/05,C+Harris Interactive,600,LV,McCaskill,45.00%,46.00%,Hawley,Hawley,1
U.S. Senate,,Ind.,,03/11/05,C+Harris Interactive,600,LV,Donnelly,42.00%,43.00%,Braun,Braun,1
U.S. Senate,,Nev.,,03/11/05,C+Harris Interactive,600,LV,Rosen,47.00%,45.00%,Heller,Rosen,2
U.S. Senate,,Fla.,,03/11/05,C+Harris Interactive,600,LV,Nelson,48.00%,48.00%,Scott,Scott,1
U.S. Senate,,Ariz.,,03/11/05,C+Harris Interactive,600,LV,Sinema,49.00%,44.00%,McSally,Sinema,5
U.S. Senate,,Texas,,03/11/05,CTrafalgar Group,2135,LV,O'Rourke,43.00%,52.00%,Cruz,Cruz,9
U.S. Senate,,Mont.,,02/11/05,CTrafalgar Group,953,LV,Tester,50.00%,49.00%,Rosendale,Tester,1
U.S. Senate,,Mont.,,01/11/05,C+Harris Interactive,500,LV,Tester,50.00%,42.00%,Rosendale,Tester,8
U.S. Senate,,Ohio,,02/11/04,Change Research,923,LV,Brown,53.00%,43.00%,Renacci,Brown,10
"Nov. 4, 2018",,,,,,,,,,,,,
U.S. Senate,,Mich.,,02/11/05,CTrafalgar Group,1817,LV,Stabenow,53.00%,44.00%,James,Stabenow,9
U.S. Senate,,Mich.,,01/11/04,D-Mitchell Research & Communications,701,LV,Stabenow,53.00%,46.00%,James,Stabenow,7
U.S. Senate,,Fla.,,03/11/04,B-St. Pete Polls,3088,LV,Nelson,50.00%,46.00%,Scott,Nelson,4
U.S. Senate,,Mich.,,02/11/04,Change Research,880,LV,Stabenow,49.00%,47.00%,James,Stabenow,2
U.S. Senate,,Mo.,,02/11/04,C+Harris Interactive,600,LV,McCaskill,44.00%,47.00%,Hawley,Hawley,2
U.S. Senate,,Ind.,,02/11/04,C+Harris Interactive,600,LV,Donnelly,43.00%,41.00%,Braun,Donnelly,3
U.S. Senate,,Miss.,,02/11/04,Change Research,1003,LV,Espy,40.00%,28.00%,McDaniel,Espy,12
U.S. Senate,,Miss.,,02/11/04,Change Research,1003,LV,Baria,40.00%,48.00%,Wicker,Wicker,8
U.S. Senate,,Nev.,,02/11/04,C+Harris Interactive,600,LV,Rosen,46.00%,46.00%,Heller,Heller,1
U.S. Senate,,Fla.,,02/11/04,C+Harris Interactive,600,LV,Nelson,45.00%,49.00%,Scott,Scott,4
U.S. Senate,,Ariz.,,02/11/04,C+Harris Interactive,600,LV,Sinema,47.00%,46.00%,McSally,Sinema,1
U.S. Senate,,Minn.,,02/11/04,Change Research,953,LV,Smith,51.00%,42.00%,Housley,Smith,9
U.S. Senate,,Minn.,,02/11/04,Change Research,953,LV,Klobuchar,55.00%,40.00%,Newberger,Klobuchar,15
U.S. Senate,,Calif.,,02/11/04,Change Research,1108,LV,Feinstein,42.00%,32.00%,de Leon,Feinstein,10
U.S. Senate,,N.J.,,02/11/04,Change Research,1006,LV,Menendez,51.00%,41.00%,Hugin,Menendez,10
U.S. Senate,,Mont.,,02/11/04,Change Research,879,LV,Tester,46.00%,49.00%,Rosendale,Rosendale,3
U.S. Senate,,Wyo.,,02/11/04,Change Research,858,LV,Trauner,31.00%,60.00%,Barrasso,Barrasso,29
U.S. Senate,,Pa.,,02/11/04,Change Research,1833,LV,Casey,51.00%,44.00%,Barletta,Casey,7
U.S. Senate,,Nev.,,01/11/04,B+Emerson College,1197,LV,Rosen,49.00%,45.00%,Heller,Rosen,5
U.S. Senate,,Mont.,,OCT 31-NOV 4,C+Harris Interactive,500,LV,Tester,49.00%,43.00%,Rosendale,Tester,6
U.S. Senate,,N.J.,,OCT 29-NOV 4,A-Quinnipiac University,1115,LV,Menendez,55.00%,40.00%,Hugin,Menendez,15
U.S. Senate,,Fla.,,OCT 29-NOV 4,A-Quinnipiac University,1142,LV,Nelson,51.00%,44.00%,Scott,Nelson,7
U.S. Senate,,Mo.,,OCT 29-NOV 4,CTrafalgar Group,1791,LV,McCaskill,44.00%,48.00%,Hawley,Hawley,4
U.S. Senate,,Ariz.,,02/11/03,C+OH Predictive Insights / MBQF,631,LV,Sinema,48.00%,49.00%,McSally,McSally,1
U.S. Senate,,Wis.,,01/11/03,Research Co.,450,RV,Baldwin,50.00%,39.00%,Vukmir,Baldwin,11
U.S. Senate,,Ohio,,01/11/03,Research Co.,450,RV,Brown,53.00%,39.00%,Renacci,Brown,14
U.S. Senate,,N.M.,,01/11/03,Research Co.,450,RV,Heinrich,47.00%,33.00%,Rich,Heinrich,14
U.S. Senate,,Fla.,,01/11/03,Research Co.,450,RV,Nelson,47.00%,46.00%,Scott,Nelson,1
U.S. Senate,,Ariz.,,01/11/03,Research Co.,450,RV,Sinema,45.00%,44.00%,McSally,Sinema,1
U.S. Senate,,Mo.,,01/11/03,B+Emerson College,732,LV,McCaskill,46.00%,49.00%,Hawley,Hawley,3
U.S. Senate,,Fla.,,01/11/03,B+Emerson College,784,LV,Nelson,50.00%,45.00%,Scott,Nelson,5
U.S. Senate,,Ariz.,,01/11/03,B+Emerson College,758,LV,Sinema,49.00%,48.00%,McSally,Sinema,1
U.S. Senate,,Calif.,,01/11/02,ASurveyUSA,806,LV,Feinstein,50.00%,36.00%,de Leon,Feinstein,14
U.S. Senate,,Fla.,,OCT 30-NOV 2,AMarist College,917,RV,Nelson,50.00%,45.00%,Scott,Nelson,5
U.S. Senate,,Fla.,,OCT 30-NOV 2,AMarist College,595,LV,Nelson,50.00%,46.00%,Scott,Nelson,4
U.S. Senate,,Ariz.,,OCT 24-NOV 2,C+Gravis Marketing,1165,LV,Sinema,46.00%,47.00%,McSally,McSally,1
U.S. Senate,,Mo.,,OCT 30-NOV 1,AMarist College,920,RV,McCaskill,46.00%,43.00%,Hawley,McCaskill,3
U.S. Senate,,Mo.,,OCT 30-NOV 1,AMarist College,600,LV,McCaskill,47.00%,44.00%,Hawley,McCaskill,3
U.S. Senate,,Mo.,,OCT 30-NOV 1,AMarist College,920,RV,McCaskill,50.00%,46.00%,Hawley,McCaskill,4
U.S. Senate,,Mo.,,OCT 30-NOV 1,AMarist College,600,LV,McCaskill,50.00%,47.00%,Hawley,McCaskill,3
U.S. Senate,,Minn.,,OCT 29-31,ASurveyUSA,600,LV,Smith,48.00%,40.00%,Housley,Smith,8
U.S. Senate,,Minn.,,OCT 29-31,ASurveyUSA,600,LV,Klobuchar,57.00%,34.00%,Newberger,Klobuchar,23
"Nov. 3, 2018",,,,,,,,,,,,,
U.S. Senate,,Mo.,,01/11/03,C+Harris Interactive,600,LV,McCaskill,46.00%,46.00%,Hawley,,EVEN
U.S. Senate,,Ind.,,01/11/03,C+Harris Interactive,600,LV,Donnelly,43.00%,42.00%,Braun,,EVEN
U.S. Senate,,Nev.,,01/11/03,C+Harris Interactive,600,LV,Rosen,45.00%,46.00%,Heller,Heller,2
