U.S. House,,TX-32,,OCT 29-NOV 4,ASiena College/New York Times,477,RV,Allred,46%,36%,Sessions,Allred,10
U.S. House,,TX-32,,OCT 29-NOV 4,ASiena College/New York Times,477,LV,Allred,46%,42%,Sessions,Allred,4
"Oct. 23, 2018",,,,,,,,,,,,,
U.S. House,,TX-2,,OCT 14-16,CTargetPoint*,435,LV,Litton,40%,49%,Crenshaw,Crenshaw,9
"Oct. 22, 2018",,,,,,,,,,,,,
U.S. House,,TX-21,,OCT 17-20,BWPA Intelligence*,401,LV,Kopser,38%,50%,Roy,Roy,12
"Oct. 21, 2018",,,,,,,,,,,,,
U.S. House,,TX-7,,OCT 19-25,ASiena College/New York Times,499,RV,Fletcher,41%,43%,Culberson,Culberson,2
U.S. House,,TX-7,,OCT 19-25,ASiena College/New York Times,499,LV,Fletcher,45%,46%,Culberson,Culberson,1
"Oct. 16, 2018",,,,,,,,,,,,,
U.S. House,,TX-12,,SEP 27-28,BPublic Policy Polling*,590,V,Adia,30%,62%,Granger,Granger,32
"Oct. 13, 2018",,,,,,,,,,,,,
U.S. House,,TX-23,,OCT 13-18,ASiena College/New York Times,488,RV,Ortiz Jones,41%,45%,Hurd,Hurd,4
U.S. House,,TX-23,,OCT 13-18,ASiena College/New York Times,488,LV,Ortiz Jones,38%,53%,Hurd,Hurd,15
"Oct. 11, 2018",,,,,,,,,,,,,
U.S. House,,TX-17,,AUG 30-SEP 1,Change Research*,961,RV,Kennedy,38%,54%,Flores,Flores,16
"Oct. 4, 2018",,,,,,,,,,,,,
U.S. House,,TX-23,,OCT 2-4,GS Strategy Group*,400,LV,Ortiz Jones,30%,55%,Hurd,Hurd,25
"Oct. 2, 2018",,,,,,,,,,,,,
U.S. House,,TX-32,,SEP 20-23,BGBA Strategies*,600,LV,Allred,50%,47%,Sessions,Allred,3
U.S. House,,TX-32,,SEP 20-23,BGBA Strategies*,600,LV,Allred,47%,46%,Sessions,Allred,1
"Oct. 1, 2018",,,,,,,,,,,,,
U.S. House,,TX-31,,OCT 1-5,ASiena College/New York Times,490,RV,Hegar,35%,51%,Carter,Carter,16
U.S. House,,TX-31,,OCT 1-5,ASiena College/New York Times,490,LV,Hegar,38%,53%,Carter,Carter,15
U.S. House,,TX-31,,SEP 22-25,BTarrance Group*,400,LV,Hegar,33%,54%,Carter,Carter,21
"Sept. 26, 2018",,,,,,,,,,,,,
U.S. House,,TX-10,,JUL 31-AUG 4,Blink Insights*,524,RV,Siegel,36%,39%,McCaul,McCaul,3
"Sept. 23, 2018",,,,,,,,,,,,,
U.S. House,,TX-31,,SEP 16-20,CAnzalone Liszt Grove Research*,500,LV,Hegar,42%,46%,Carter,Carter,4
U.S. House,,TX-32,,SEP 17-18,BPublic Policy Polling*,555,V,Allred,47%,42%,Sessions,Allred,5
U.S. House,,TX-7,,SEP 17-18,BPublic Policy Polling*,562,V,Fletcher,47%,45%,Culberson,Fletcher,2
"Sept. 19, 2018",,,,,,,,,,,,,
U.S. House,,TX-32,,SEP 19-24,ASiena College/New York Times,500,RV,Allred,47%,48%,Sessions,Sessions,1
U.S. House,,TX-32,,SEP 19-24,ASiena College/New York Times,500,LV,Allred,47%,48%,Sessions,Sessions,2
